system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo,wind_speed,wind_dir_rad,plume_score_nov,plume_score_oct
34,,,0.0002521921124382,28.15,76.45,0.6300924426979488,-0.0627187417613135,"{""type"":""Point"",""coordinates"":[76.45,28.15]}",0.6332062277909072,1.6700084758640432,0.0,0.0
35,,,0.000234888156959,28.15,76.6,0.6283108943038516,-0.1126702527205149,"{""type"":""Point"",""coordinates"":[76.6,28.15]}",0.6383331150340005,1.7482329071075475,0.0,0.0
36,,,0.0002754103862607,28.15,76.75,0.6500048233403102,-0.206258170472251,"{""type"":""Point"",""coordinates"":[76.75,28.15]}",0.6819447948714236,1.8780644229556194,0.0,0.0
37,,,0.0003118214502629,28.15,76.9,0.6429939183923935,-0.3777750975555843,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.15]}",0.74575814003116,2.101992641606595,0.0,0.0
38,,,0.00029281550997,28.15,77.05,0.6081065621640948,-0.4848226235972512,"{""type"":""Point"",""coordinates"":[77.05,28.15]}",0.777718822775144,2.243867907991287,0.0,0.0
39,,,0.0002665577541394,28.15,77.2,0.6137980904844069,-0.5533617132239871,"{""type"":""Point"",""coordinates"":[77.2,28.15]}",0.826412295131486,2.304459972841579,0.0,0.0
40,,,0.0003180453203169,28.15,77.35,0.5619633058706921,-0.5495646483368344,"{""type"":""Point"",""coordinates"":[77.35,28.15]}",0.7860178495725816,2.3450403457644646,0.0,0.0
41,,319.8999938964844,0.0002906889580996,28.15,77.5,0.5478987713654837,-0.5591112249427375,"{""type"":""Point"",""coordinates"":[77.5,28.15]}",0.7828144259789641,2.3663227367445074,0.0,0.0
42,,,0.0001784255137172,28.3,74.5,0.5135848065217336,0.2662875380780962,"{""type"":""Point"",""coordinates"":[74.5,28.3]}",0.5785139638985908,1.092467979965474,0.0,0.0
43,,,0.0001705403994805,28.3,74.65,0.5619602541128794,0.2361622803741031,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.3]}",0.609567018361483,1.1729581348969487,0.0,0.0
44,,,0.0001759352286627,28.3,74.8,0.5913591934574973,0.2385545194149017,"{""type"":""Point"",""coordinates"":[74.8,28.3]}",0.6376628846184922,1.1873620348418301,0.0,0.0
45,,,0.0001965755277818,28.3,74.95,0.5797008004453444,0.2634758518801795,"{""type"":""Point"",""coordinates"":[74.95,28.3]}",0.6367672593349625,1.1442038776579493,0.0,0.0
46,,,0.000203991566363,28.3,75.1,0.5232768502500325,0.3043639812204573,"{""type"":""Point"",""coordinates"":[75.1,28.3]}",0.605356172077201,1.0439787552820654,0.0,0.0
47,,,0.0001934187904975,28.3,75.25,0.4325626711050667,0.3781225939591725,"{""type"":""Point"",""coordinates"":[75.25,28.3]}",0.5745321231192938,0.8524506519977635,0.0,0.0
48,,,0.0001785983797984,28.3,75.4,0.4005714330408308,0.3667486925919849,"{""type"":""Point"",""coordinates"":[75.4,28.3]}",0.5431041120138155,0.829448696392706,0.0,0.0
