system:index,date,mean,name,.geo
20240518T113325_20240520T012526_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T131455_20240520T030459_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T131455_20240520T030459_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T131455_20240520T030459_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T131455_20240520T030459_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T131455_20240520T030459_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T145625_20240520T044501_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T145625_20240520T044501_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T145625_20240520T044501_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T145625_20240520T044501_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T145625_20240520T044501_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T163755_20240520T062505_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T163755_20240520T062505_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T163755_20240520T062505_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T163755_20240520T062505_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T163755_20240520T062505_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T181925_20240520T080509_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T181925_20240520T080509_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T181925_20240520T080509_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
