system:index,date,mean,name,.geo
20241120T214241_20241123T022938_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T214241_20241123T022938_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T214241_20241123T022938_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T232410_20241123T025725_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T232410_20241123T025725_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T232410_20241123T025725_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T232410_20241123T025725_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T232410_20241123T025725_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241121T010540_20241123T031045_0,2024-11-21,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241121T010540_20241123T031045_1,2024-11-21,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241121T010540_20241123T031045_2,2024-11-21,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241121T010540_20241123T031045_3,2024-11-21,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241121T010540_20241123T031045_4,2024-11-21,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241121T024710_20241123T042108_0,2024-11-21,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241121T024710_20241123T042108_1,2024-11-21,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241121T024710_20241123T042108_2,2024-11-21,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241121T024710_20241123T042108_3,2024-11-21,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241121T024710_20241123T042108_4,2024-11-21,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241121T042839_20241123T042318_0,2024-11-21,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241121T042839_20241123T042318_1,2024-11-21,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241121T042839_20241123T042318_2,2024-11-21,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241121T042839_20241123T042318_3,2024-11-21,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
