system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo
168,,,0.00020553040542187293,29.2,74.5,-0.0874056584305234,-0.3605509764618342,"{""type"":""Point"",""coordinates"":[74.5,29.200000000000003]}"
169,,,0.0002233365337811288,29.2,74.65,-0.0842698077360789,-0.3654354843828413,"{""type"":""Point"",""coordinates"":[74.65000000000002,29.200000000000003]}"
170,,,0.00020968872076724743,29.2,74.8,-0.0774755775928496,-0.375443215502633,"{""type"":""Point"",""coordinates"":[74.8,29.200000000000003]}"
171,,,0.0002184377378619557,29.2,74.95,-0.0800454967551761,-0.3855523327986399,"{""type"":""Point"",""coordinates"":[74.95,29.200000000000003]}"
172,,,0.0002482830997004576,29.2,75.1,-0.0927994708220163,-0.3963182561927371,"{""type"":""Point"",""coordinates"":[75.1,29.200000000000003]}"
173,,,0.0002561688205627386,29.2,75.25,-0.1374378714296552,-0.3670844508541954,"{""type"":""Point"",""coordinates"":[75.25,29.200000000000003]}"
174,,,0.00024232234700924613,29.2,75.4,-0.148789393239551,-0.3267178330156536,"{""type"":""Point"",""coordinates"":[75.4,29.200000000000003]}"
175,,,0.0002670091466504917,29.2,75.55,-0.13880132900344,-0.2344316595130496,"{""type"":""Point"",""coordinates"":[75.55,29.200000000000003]}"
176,,,0.00025799521320683534,29.2,75.7,-0.122348963552051,-0.2201029784149593,"{""type"":""Point"",""coordinates"":[75.7,29.200000000000003]}"
177,,,0.00023540662234223744,29.2,75.85,-0.1020883434348636,-0.217917580737008,"{""type"":""Point"",""coordinates"":[75.85000000000001,29.200000000000003]}"
178,,,0.00020657464314122255,29.2,76.0,-0.0034768932395511,-0.2592519448863136,"{""type"":""Point"",""coordinates"":[76.0,29.200000000000003]}"
179,,,0.00026583359745441416,29.2,76.15,0.1365909914175669,-0.3152381373776328,"{""type"":""Point"",""coordinates"":[76.15,29.200000000000003]}"
180,,,0.00025882013017932125,29.2,76.3,0.2044705622726015,-0.3419159260061051,"{""type"":""Point"",""coordinates"":[76.3,29.200000000000003]}"
181,312.1700134277344,,0.00024964949323557907,29.2,76.45,0.3421350181102752,-0.3952430201901331,"{""type"":""Point"",""coordinates"":[76.45,29.200000000000003]}"
182,,,0.0002614915233927271,29.2,76.6,0.4125414444340599,-0.3988420599036746,"{""type"":""Point"",""coordinates"":[76.6,29.200000000000003]}"
183,313.67999267578125,,0.0002835364045485579,29.2,76.75,0.4653921253151364,-0.3961097194088828,"{""type"":""Point"",""coordinates"":[76.75,29.200000000000003]}"
