system:index,date,dewpoint_temperature_2m,name,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20241028_0,2024-10-28,292.62742869059247,Delhi,98250.20279947917,298.7568759918213,0.0,-1.303182601928711,1.5778810580571492,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241028_1,2024-10-28,298.3297398885091,Mumbai,100694.57779947917,301.2732334136963,1.2278556823730469E-5,0.8332513173421224,0.05293802420298258,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241028_2,2024-10-28,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241028_3,2024-10-28,290.3028844197591,Bangalore,90916.4111328125,295.2794183095296,9.931623935699463E-5,1.403970718383789,-0.15498840808868408,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241028_4,2024-10-28,291.8003616333008,Hyderabad,94802.11946614583,297.8360589345296,0.0,-0.41324933369954425,0.6296185255050659,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241029_0,2024-10-29,293.0715217590332,Delhi,98272.28564453125,299.5658899943034,0.0,-0.9220924377441406,0.9610007206598917,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241029_1,2024-10-29,298.2690315246582,Mumbai,100811.86897786458,300.8572311401367,9.73045825958252E-5,0.5470237731933594,0.3440573612848918,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241029_2,2024-10-29,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241029_3,2024-10-29,291.2349332173665,Bangalore,91002.45231119792,295.54163869222003,4.105567932128906E-4,0.554510752360026,-0.7810240189234415,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241029_4,2024-10-29,292.6500536600749,Hyderabad,94922.95231119792,298.1796595255534,1.1873245239257812E-4,0.046413421630859375,-0.4819110631942749,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241030_0,2024-10-30,292.2998510996501,Delhi,98372.12109375,300.0023708343506,0.0,0.20885996023813883,-0.6491413116455078,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241030_1,2024-10-30,298.0714982350667,Mumbai,100898.20442708333,301.2141221364339,4.500150680541992E-6,0.0233537753423055,-0.5293496449788412,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241030_2,2024-10-30,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241030_3,2024-10-30,291.4588680267334,Bangalore,91067.70442708333,295.3122666676839,6.278008222579956E-4,-0.8104271491368612,-0.06088447570800781,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241030_4,2024-10-30,294.7619279225667,Hyderabad,95052.20442708333,297.4725856781006,0.01139780879020691,-0.5211611986160278,-0.6414508819580078,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241031_0,2024-10-31,289.2456340789795,Delhi,98477.02099609375,299.1557788848877,0.0,2.6719843546549478,-1.4319190979003906,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241031_1,2024-10-31,297.3420696258545,Mumbai,100945.10432942708,302.0026213328044,0.0,0.34544626871744794,-0.21801122029622397,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241031_2,2024-10-31,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241031_3,2024-10-31,292.9440390268962,Bangalore,91124.14599609375,295.681739171346,0.0027571022510528564,-0.7944056193033854,0.13399887084960938,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241031_4,2024-10-31,294.9437135060628,Hyderabad,95131.39599609375,297.393409093221,0.0014895498752593994,-1.2735315958658855,0.2857322692871094,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241101_0,2024-11-01,288.12104479471844,Delhi,98589.5654296875,298.12302271525067,8.52346317969932E-7,2.0180962880452475,-0.44970011711120605,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241101_1,2024-11-01,298.47480456034344,Mumbai,101082.23209635417,301.9640057881673,4.8387050526343955E-5,0.6192111968994141,0.37982869148254395,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241101_2,2024-11-01,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241101_3,2024-11-01,292.6434243520101,Bangalore,91223.8154296875,295.35544459025067,0.002456533908741676,-0.9543972015380859,0.07088907559712727,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241101_4,2024-11-01,294.95673815409344,Hyderabad,95260.23209635417,297.3922284444173,0.003064143657582008,-0.9995632171630859,-0.07518839836120605,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241102_0,2024-11-02,288.63251876831055,Delhi,98702.14388020833,297.47027651468915,8.612870487922919E-7,-0.30280431111653644,-0.37876347700754803,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241102_1,2024-11-02,296.66100184122723,Mumbai,101074.76888020833,301.4889939626058,2.9176472935432685E-6,0.055309295654296875,-1.1867875655492146,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241102_2,2024-11-02,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241102_3,2024-11-02,292.38577397664386,Bangalore,91229.685546875,294.99550437927246,0.003727477788856959,-1.6156705220540364,-0.04581669966379801,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241102_4,2024-11-02,294.42255783081055,Hyderabad,95272.76888020833,297.51552391052246,9.790033101353401E-4,-1.5171597798665364,-0.27482060591379803,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241103_0,2024-11-03,289.03865814208984,Delhi,98753.2041015625,297.2293287913005,2.5779399948078208E-6,-0.3889872233072917,-0.6801675160725912,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241103_1,2024-11-03,295.01994069417316,Mumbai,101057.24576822917,301.8828932444255,2.5779399948078208E-6,-0.7718404134114584,-1.469291051228841,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241103_2,2024-11-03,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241103_3,2024-11-03,291.84643809000653,Bangalore,91215.53743489583,295.1547845204671,0.001394718924530025,-2.089996337890625,0.3185507456461589,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241103_4,2024-11-03,293.67041269938153,Hyderabad,95271.62076822917,297.2076002756755,2.984851989822346E-4,-1.5922749837239583,0.030037562052408855,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241104_0,2024-11-04,289.3739020029704,Delhi,98646.69677734375,296.67476081848145,0.0,-0.18865076700846353,-0.44960319995880127,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241104_1,2024-11-04,294.4080816904704,Mumbai,100966.98844401042,301.83451016743976,0.0,-0.6318880716959635,-1.2636901140213013,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241104_2,2024-11-04,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241104_3,2024-11-04,291.8114020029704,Bangalore,91131.40511067708,294.86095873514813,0.001158684492111206,-1.8801383972167969,0.09562385082244873,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241104_4,2024-11-04,292.4767665863037,Hyderabad,95193.82177734375,296.84142748514813,2.6607513427734375E-4,-1.3232536315917969,-0.08558952808380127,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241105_0,2024-11-05,290.82820828755695,Delhi,98849.12630208333,296.90217208862305,8.52346317969932E-7,-1.3848838806152344,0.12628368536631265,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241105_1,2024-11-05,294.5716978708903,Mumbai,101060.16796875,301.63296635945636,8.52346317969932E-7,-0.5970013936360677,-0.758949875831604,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241105_2,2024-11-05,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241105_3,2024-11-05,289.06006050109863,Bangalore,91190.50130208333,294.50967534383136,1.688599576255001E-5,-1.7094688415527344,-0.930946946144104,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241105_4,2024-11-05,290.11108589172363,Hyderabad,95238.87630208333,296.68781661987305,8.52346317969932E-7,-1.0286827087402344,-1.1690247456232707,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241106_0,2024-11-06,291.30988057454425,Delhi,98824.3583984375,297.3577760060628,1.7231332662959176E-6,-0.19050506750742593,0.14522488911946616,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241106_1,2024-11-06,293.83592224121094,Mumbai,101098.69173177083,301.3801555633545,1.7231332662959176E-6,-0.3739360570907593,-1.8156719207763672,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241106_2,2024-11-06,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241106_3,2024-11-06,289.2538096110026,Bangalore,91176.44173177083,295.6762167612712,7.117353618468769E-6,-1.1312806208928425,-1.5485413869222004,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241106_4,2024-11-06,289.53473409016925,Hyderabad,95239.44173177083,296.5208619435628,1.7231332662959176E-6,-1.2379700740178425,-1.8733704884847004,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241107_0,2024-11-07,291.5729166666667,Delhi,98778.11214192708,297.47728602091473,8.504217134941428E-7,-0.9143822987874349,0.3523186842600505,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241107_1,2024-11-07,293.5400390625,Mumbai,101093.11214192708,301.20905685424805,8.504217134941428E-7,-0.6425724029541016,-1.864315430323283,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241107_2,2024-11-07,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241107_3,2024-11-07,291.1717122395833,Bangalore,91184.57047526042,294.99559656778973,4.462163274752129E-4,-2.0047550201416016,-1.2349615891774495,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241107_4,2024-11-07,288.5262044270833,Hyderabad,95258.36214192708,295.81851323445636,8.504217134941428E-7,-1.1043237050374348,-1.3743658860524495,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
