system:index,co,dewpoint_temperature_2m,hcho,lat,lon,no2,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,.geo
65,0.04410853935198497,288.29980626911885,2.7167995330269897E-4,28.625,77.14999999999999,1.348174969066017E-4,98218.75212837115,297.81807014778855,0.0025862025352374474,0.3473140594621773,-0.6271789032574658,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.624999999999996]}"
66,0.04458544722109875,288.29980626911885,2.8861946333661424E-4,28.625,77.21,1.4825749202988217E-4,98218.75212837115,297.81807014778855,0.0025862025352374474,0.3473140594621773,-0.6271789032574658,"{""type"":""Point"",""coordinates"":[77.21,28.624999999999996]}"
67,0.0448553566548398,288.39783530736065,3.0760156626626853E-4,28.625,77.27,1.5874893951914426E-4,98311.43169458116,297.7763923331483,0.0025323941972158685,0.353646052809066,-0.621221649047991,"{""type"":""Point"",""coordinates"":[77.27,28.624999999999996]}"
68,0.04470683585034458,288.39783530736065,3.1938745142510706E-4,28.625,77.33,1.5730954466247108E-4,98311.43169458116,297.7763923331483,0.0025323941972158685,0.353646052809066,-0.621221649047991,"{""type"":""Point"",""coordinates"":[77.33,28.624999999999996]}"
69,0.0449341395670913,288.53938313662735,3.0952916144406445E-4,28.625,77.39,1.455533851017129E-4,98448.2119457227,297.7378091960191,0.0024890280214075497,0.34829212693863243,-0.6205235071922544,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.624999999999996]}"
70,0.04496099522960749,288.53938313662735,3.0525040853017667E-4,28.625,77.44999999999999,1.3529907395420552E-4,98448.2119457227,297.7378091960191,0.0024890280214075497,0.34829212693863243,-0.6205235071922544,"{""type"":""Point"",""coordinates"":[77.44999999999999,28.625000000000004]}"
71,0.044088040489831934,288.60405387007506,2.614810051958222E-4,28.625,77.50999999999999,1.2002332694694052E-4,98412.24185439854,297.6644758180943,0.0024426035149457664,0.3421246219443401,-0.6179517253893152,"{""type"":""Point"",""coordinates"":[77.50999999999999,28.624999999999996]}"
72,0.04183007595287439,287.9755942079029,2.3685670217633332E-4,28.68,76.85,6.5122845535627E-5,98262.7261009739,297.89277338872773,0.002396169006334688,0.33130512324642364,-0.4899283949098632,"{""type"":""Point"",""coordinates"":[76.85,28.679999999999996]}"
73,0.04212675017490104,288.06911478260355,2.3463422513476064E-4,28.68,76.91,7.28370694679694E-5,98344.95326992367,297.908657690597,0.002447129916165069,0.34187446141351857,-0.5376641299626599,"{""type"":""Point"",""coordinates"":[76.91,28.679999999999996]}"
74,0.04271524783447892,288.2296032422207,2.5972958238197624E-4,28.68,76.97,8.489238171544652E-5,98422.43443430722,297.8857441453629,0.0024733287703501993,0.34568127148771927,-0.5687878791600061,"{""type"":""Point"",""coordinates"":[76.97,28.679999999999996]}"
75,0.04321474881916012,288.2296032422207,2.6629016482457426E-4,28.68,77.03,9.654465177595726E-5,98422.43443430722,297.8857441453629,0.0024733287703501993,0.34568127148771927,-0.5687878791600061,"{""type"":""Point"",""coordinates"":[77.03,28.679999999999996]}"
76,0.0439236449539253,288.40768721767773,2.680205515274404E-4,28.68,77.08999999999999,1.138412278364946E-4,98418.52221969544,297.84441080311103,0.002495825727018687,0.34714617097758793,-0.5823363460906568,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.679999999999996]}"
77,0.043800949032391255,288.517868662098,2.869449565804322E-4,28.68,77.14999999999999,1.3299896397945746E-4,98368.31263065425,297.7742918319354,0.002494608934938187,0.3517251454531876,-0.5802578063860334,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.679999999999996]}"
78,0.04429172168510272,288.517868662098,2.868474375494206E-4,28.68,77.21,1.378591609746114E-4,98368.31263065425,297.7742918319354,0.002494608934938187,0.3517251454531876,-0.5802578063860334,"{""type"":""Point"",""coordinates"":[77.21,28.679999999999996]}"
79,0.04442503410807756,288.50920601762044,2.9093733117191174E-4,28.68,77.27,1.3693616682989313E-4,98371.88705987802,297.7038883644695,0.0024424648729090147,0.36480222031406095,-0.5717038546523002,"{""type"":""Point"",""coordinates"":[77.27,28.679999999999996]}"
80,0.04455366428680451,288.50920601762044,2.9686589073570806E-4,28.68,77.33,1.3553400764791258E-4,98371.88705987802,297.7038883644695,0.0024424648729090147,0.36480222031406095,-0.5717038546523002,"{""type"":""Point"",""coordinates"":[77.33,28.679999999999996]}"
81,0.04419732779174467,288.5654698411078,2.9753121137695725E-4,28.68,77.39,1.2372360216208813E-4,98387.74596398756,297.64145235383893,0.0023852699296116153,0.372348339481441,-0.5650173000004736,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.679999999999996]}"
82,0.04410564867175449,288.5654698411078,2.755074580537813E-4,28.68,77.44999999999999,1.157561982407992E-4,98387.74596398756,297.64145235383893,0.0023852699296116153,0.372348339481441,-0.5650173000004736,"{""type"":""Point"",""coordinates"":[77.44999999999999,28.679999999999996]}"
83,0.043536856708874645,288.6300533974008,2.560248230997995E-4,28.68,77.50999999999999,1.014461574783317E-4,98381.99550736655,297.57814367982354,0.0023274910649209134,0.3715889952498488,-0.5567454477423404,"{""type"":""Point"",""coordinates"":[77.50999999999999,28.679999999999996]}"
84,0.042044111358066925,287.9755942079029,2.4361756309198294E-4,28.735000000000003,76.85,6.85248358940773E-5,98262.7261009739,297.89277338872773,0.002396169006334688,0.33130512324642364,-0.4899283949098632,"{""type"":""Point"",""coordinates"":[76.85,28.735000000000007]}"
85,0.04223591540743912,288.06911478260355,2.4170123224221099E-4,28.735000000000003,76.91,7.17088839545331E-5,98344.95326992367,297.908657690597,0.002447129916165069,0.34187446141351857,-0.5376641299626599,"{""type"":""Point"",""coordinates"":[76.91,28.735000000000007]}"
86,0.04259375333701272,288.2296032422207,2.638744777556746E-4,28.735000000000003,76.97,7.651083386410911E-5,98422.43443430722,297.8857441453629,0.0024733287703501993,0.34568127148771927,-0.5687878791600061,"{""type"":""Point"",""coordinates"":[76.97,28.735000000000007]}"
87,0.04268817803736967,288.2296032422207,2.6349642731615517E-4,28.735000000000003,77.03,8.379885198240689E-5,98422.43443430722,297.8857441453629,0.0024733287703501993,0.34568127148771927,-0.5687878791600061,"{""type"":""Point"",""coordinates"":[77.03,28.735000000000007]}"
88,0.04312362599776484,288.40768721767773,2.7279629418810363E-4,28.735000000000003,77.08999999999999,9.984274407448863E-5,98418.52221969544,297.84441080311103,0.002495825727018687,0.34714617097758793,-0.5823363460906568,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.735000000000007]}"
89,0.04349564703028177,288.517868662098,2.84358005782411E-4,28.735000000000003,77.14999999999999,1.1160146360904145E-4,98368.31263065425,297.7742918319354,0.002494608934938187,0.3517251454531876,-0.5802578063860334,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.735000000000007]}"
90,0.04377933150347923,288.517868662098,2.737705500604959E-4,28.735000000000003,77.21,1.0970663578075512E-4,98368.31263065425,297.7742918319354,0.002494608934938187,0.3517251454531876,-0.5802578063860334,"{""type"":""Point"",""coordinates"":[77.21,28.735000000000007]}"
91,0.04337183271776166,288.50920601762044,2.8241548139871234E-4,28.735000000000003,77.27,1.024807733329033E-4,98371.88705987802,297.7038883644695,0.0024424648729090147,0.36480222031406095,-0.5717038546523002,"{""type"":""Point"",""coordinates"":[77.27,28.735]}"
92,0.04347116766670965,288.50920601762044,2.6092262033527644E-4,28.735000000000003,77.33,9.499220304900658E-5,98371.88705987802,297.7038883644695,0.0024424648729090147,0.36480222031406095,-0.5717038546523002,"{""type"":""Point"",""coordinates"":[77.33,28.735000000000007]}"
93,0.04348355142707395,288.5654698411078,2.7079186284307703E-4,28.735000000000003,77.39,8.723980502784187E-5,98387.74596398756,297.64145235383893,0.0023852699296116153,0.372348339481441,-0.5650173000004736,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.735000000000007]}"
94,0.04310928617296368,288.5654698411078,2.586660542277482E-4,28.735000000000003,77.44999999999999,8.358636374924106E-5,98387.74596398756,297.64145235383893,0.0023852699296116153,0.372348339481441,-0.5650173000004736,"{""type"":""Point"",""coordinates"":[77.44999999999999,28.735000000000007]}"
95,0.04337588546317732,288.6300533974008,2.6232109093099487E-4,28.735000000000003,77.50999999999999,7.820513197925576E-5,98381.99550736655,297.57814367982354,0.0023274910649209134,0.3715889952498488,-0.5567454477423404,"{""type"":""Point"",""coordinates"":[77.50999999999999,28.735000000000007]}"
96,0.04176336830363024,288.0580140762677,2.3462289277538997E-4,28.790000000000003,76.85,6.246487536643708E-5,98309.77621512907,297.8370275001005,0.0023266577838219333,0.3366962833491636,-0.516195250646164,"{""type"":""Point"",""coordinates"":[76.85,28.790000000000003]}"
97,0.04175032708928182,288.15849366209846,2.468575473210266E-4,28.790000000000003,76.91,6.66294914612352E-5,98320.73500508345,297.79425852178986,0.002363485166797995,0.34474311375726874,-0.5326796479421122,"{""type"":""Point"",""coordinates"":[76.91,28.790000000000003]}"
98,0.04268713517099821,288.3040717068328,2.3169513544624867E-4,28.790000000000003,76.97,7.275075927871792E-5,98354.3951649008,297.75890762816834,0.0023922439996511293,0.34759448674171534,-0.541133881050702,"{""type"":""Point"",""coordinates"":[76.97,28.790000000000003]}"
99,0.04263407332747596,288.3040717068328,2.6043764971523845E-4,28.790000000000003,77.03,7.941424529347322E-5,98354.3951649008,297.75890762816834,0.0023922439996511293,0.34759448674171534,-0.541133881050702,"{""type"":""Point"",""coordinates"":[77.03,28.790000000000003]}"
100,0.04287285238183146,288.45886377482657,2.7113010481808625E-4,28.790000000000003,77.08999999999999,9.124053034885911E-5,98387.55783613371,297.7161315151545,0.00241552835000714,0.3480756332885187,-0.5421897056440242,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.790000000000003]}"
