system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo
138,,,2.4543415454918237E-4,28.9,76.3,0.17698066698180312,-0.28414445519447334,"{""type"":""Point"",""coordinates"":[76.3,28.899999999999995]}"
139,,,2.7482749624531687E-4,28.9,76.45,0.34590359992451136,-0.3644436630937788,"{""type"":""Point"",""coordinates"":[76.45,28.899999999999995]}"
140,,,2.839955134096095E-4,28.9,76.6,0.41520868076218503,-0.39772986372311914,"{""type"":""Point"",""coordinates"":[76.6,28.899999999999995]}"
141,,,2.8861411173798375E-4,28.9,76.75,0.4539517634444767,-0.4143978867265912,"{""type"":""Point"",""coordinates"":[76.75,28.899999999999995]}"
142,,,2.685181796908567E-4,28.9,76.9,0.492829801638921,-0.4519850313663483,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.899999999999995]}"
143,,,3.0635137310780144E-4,28.9,77.05,0.5274380915694766,-0.4461436278290218,"{""type"":""Point"",""coordinates"":[77.05,28.899999999999995]}"
144,,,3.1481432629313407E-4,28.9,77.2,0.545569262901942,-0.4391083088186052,"{""type"":""Point"",""coordinates"":[77.2,28.899999999999995]}"
145,,,3.0320102779527575E-4,28.9,77.35,0.5968628691302403,-0.4357683294349248,"{""type"":""Point"",""coordinates"":[77.35,28.899999999999995]}"
146,,,3.029949694586255E-4,28.9,77.5,0.628518752919303,-0.44920250640975107,"{""type"":""Point"",""coordinates"":[77.5,28.899999999999995]}"
147,,,1.837330549765278E-4,29.05,74.5,0.021017532216177973,-0.29036190311114,"{""type"":""Point"",""coordinates"":[74.5,29.050000000000004]}"
148,,,1.903409824435554E-4,29.05,74.65,0.01462477776739327,-0.28995669749048003,"{""type"":""Point"",""coordinates"":[74.65000000000002,29.050000000000004]}"
149,,,1.839030511076606E-4,29.05,74.8,0.018438118696212782,-0.27818165951304963,"{""type"":""Point"",""coordinates"":[74.8,29.050000000000004]}"
150,,,1.8818303422304163E-4,29.05,74.95,0.020511618587705827,-0.2881754881805843,"{""type"":""Point"",""coordinates"":[74.95,29.050000000000004]}"
151,,,2.3101922478973403E-4,29.05,75.1,0.00800483690367806,-0.29927100141843166,"{""type"":""Point"",""coordinates"":[75.1,29.050000000000004]}"
152,,,2.168465793445563E-4,29.05,75.25,-0.024508590830696966,-0.2872029946910011,"{""type"":""Point"",""coordinates"":[75.25,29.050000000000004]}"
153,,,2.180084429816171E-4,29.05,75.4,-0.04160419901212054,-0.2709049125512441,"{""type"":""Point"",""coordinates"":[75.4,29.050000000000004]}"
154,,,2.4157532401294912E-4,29.05,75.55,-0.03348686231507193,-0.19546885026825797,"{""type"":""Point"",""coordinates"":[75.55,29.050000000000004]}"
155,,,2.4744677166484337E-4,29.05,75.7,-0.018366758690940028,-0.1750956541962094,"{""type"":""Point"",""coordinates"":[75.7,29.050000000000004]}"
156,,,2.492947936007749E-4,29.05,75.85,-9.26980045106715E-4,-0.173129983080758,"{""type"":""Point"",""coordinates"":[75.85000000000001,29.050000000000004]}"
157,,,2.5549020728626875E-4,29.05,76.0,0.025836596886316857,-0.21683318946096636,"{""type"":""Point"",""coordinates"":[76.0,29.050000000000004]}"
158,,,2.4536513094714104E-4,29.05,76.15,0.1338281333446502,-0.28024566504690385,"{""type"":""Point"",""coordinates"":[76.15,29.050000000000004]}"
159,,,2.6043908143556197E-4,29.05,76.3,0.2013204700416989,-0.30651214453909126,"{""type"":""Point"",""coordinates"":[76.3,29.050000000000004]}"
160,,,2.4558265409923685E-4,29.05,76.45,0.3462257299158308,-0.3681108587317997,"{""type"":""Point"",""coordinates"":[76.45,29.050000000000004]}"
161,,,2.560642777049129E-4,29.05,76.6,0.41653789083162934,-0.40359907216495944,"{""type"":""Point"",""coordinates"":[76.6,29.050000000000004]}"
162,,,2.599401578815483E-4,29.05,76.75,0.44295322828822664,-0.4233151230547164,"{""type"":""Point"",""coordinates"":[76.75,29.050000000000004]}"
163,,,2.556757041644935E-4,29.05,76.9,0.4580807917647892,-0.4700012531545426,"{""type"":""Point"",""coordinates"":[76.90000000000002,29.050000000000004]}"
164,,,2.812491532639883E-4,29.05,77.05,0.5007480959097548,-0.47163123091061904,"{""type"":""Point"",""coordinates"":[77.05,29.050000000000004]}"
165,,,3.038374399566078E-4,29.05,77.2,0.517637879980935,-0.46463999284638297,"{""type"":""Point"",""coordinates"":[77.2,29.050000000000004]}"
166,,,2.8650971283996214E-4,29.05,77.35,0.5703644560443032,-0.4840698566701676,"{""type"":""Point"",""coordinates"":[77.35,29.050000000000004]}"
167,,,3.0103305790639336E-4,29.05,77.5,0.5995870716041989,-0.5056488361623552,"{""type"":""Point"",""coordinates"":[77.5,29.050000000000004]}"
168,,,2.0553040542187293E-4,29.2,74.5,-0.0874056584305234,-0.36055097646183426,"{""type"":""Point"",""coordinates"":[74.5,29.200000000000003]}"
169,,,2.233365337811288E-4,29.2,74.65,-0.08426980773607896,-0.36543548438284135,"{""type"":""Point"",""coordinates"":[74.65000000000002,29.200000000000003]}"
170,,,2.0968872076724743E-4,29.2,74.8,-0.07747557759284969,-0.375443215502633,"{""type"":""Point"",""coordinates"":[74.8,29.200000000000003]}"
171,,,2.184377378619557E-4,29.2,74.95,-0.08004549675517618,-0.38555233279863993,"{""type"":""Point"",""coordinates"":[74.95,29.200000000000003]}"
172,,,2.482830997004576E-4,29.2,75.1,-0.09279947082201635,-0.3963182561927371,"{""type"":""Point"",""coordinates"":[75.1,29.200000000000003]}"
173,,,2.561688205627386E-4,29.2,75.25,-0.13743787142965525,-0.36708445085419544,"{""type"":""Point"",""coordinates"":[75.25,29.200000000000003]}"
174,,,2.4232234700924613E-4,29.2,75.4,-0.14878939323955104,-0.32671783301565366,"{""type"":""Point"",""coordinates"":[75.4,29.200000000000003]}"
175,,,2.670091466504917E-4,29.2,75.55,-0.13880132900344,-0.23443165951304967,"{""type"":""Point"",""coordinates"":[75.55,29.200000000000003]}"
176,,,2.5799521320683534E-4,29.2,75.7,-0.12234896355205109,-0.22010297841495935,"{""type"":""Point"",""coordinates"":[75.7,29.200000000000003]}"
177,,,2.3540662234223744E-4,29.2,75.85,-0.1020883434348636,-0.21791758073700807,"{""type"":""Point"",""coordinates"":[75.85000000000001,29.200000000000003]}"
178,,,2.0657464314122257E-4,29.2,76.0,-0.003476893239551124,-0.25925194488631365,"{""type"":""Point"",""coordinates"":[76.0,29.200000000000003]}"
179,,,2.6583359745441416E-4,29.2,76.15,0.13659099141756695,-0.3152381373776328,"{""type"":""Point"",""coordinates"":[76.15,29.200000000000003]}"
180,,,2.5882013017932125E-4,29.2,76.3,0.20447056227260155,-0.34191592600610515,"{""type"":""Point"",""coordinates"":[76.3,29.200000000000003]}"
181,312.1700134277344,,2.4964949323557907E-4,29.2,76.45,0.34213501811027525,-0.3952430201901331,"{""type"":""Point"",""coordinates"":[76.45,29.200000000000003]}"
182,,,2.614915233927271E-4,29.2,76.6,0.4125414444340599,-0.39884205990367466,"{""type"":""Point"",""coordinates"":[76.6,29.200000000000003]}"
